Reviewer,Number,Authors,Title,Pub.year,URL,Species,Site,Latitude,Longitude,Loc.method,Month,Sample.year,Primer.note,Locus,Cross.species,He,Ho,A,A.rarefacted,Fis,He.mean,Ho.mean,A.mean,Fis.mean,He.sd,Ho.sd,A.sd,Fis.sd,Sample.Size,Notes
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867007,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST007 ,FALSE,0.4700,0.38,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867008,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST014 ,FALSE,0.8800,0.92,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867009,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST016 ,FALSE,0.6900,0.67,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867010,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST032 ,FALSE,0.9400,0.96,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867011,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST043 ,FALSE,0.7500,0.25,13.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867012,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST062 ,FALSE,0.7100,0.67,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867013,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST063 ,FALSE,0.4200,0.29,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867014,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST097 ,FALSE,0.6900,0.71,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867015,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST098 ,FALSE,0.6800,0.58,8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867016,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST121 ,FALSE,0.5100,0.50,3.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867017,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST122 ,FALSE,0.9100,0.92,13.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867018,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST149 ,FALSE,0.6000,0.42,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867019,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST164 ,FALSE,0.9100,0.70,16.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867020,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST165 ,FALSE,0.5700,0.67,8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867021,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST171 ,FALSE,0.7700,0.79,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867022,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST181 ,FALSE,0.2200,0.25,2.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867023,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST196 ,FALSE,0.8500,0.79,9.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867024,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST245 ,FALSE,0.2300,0.21,5.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867025,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,EST254 ,FALSE,0.8200,0.75,8.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867026,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS005 ,FALSE,0.8200,0.14,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867027,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS035 ,FALSE,0.8700,0.50,9.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867028,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS051 ,FALSE,0.8600,0.61,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867029,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS079 ,FALSE,0.7100,0.55,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867030,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS092 ,FALSE,0.9300,0.79,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867031,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS101 ,FALSE,0.8800,0.88,17.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867032,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS107 ,FALSE,0.8900,0.74,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867033,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS112 ,FALSE,0.7300,0.79,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867034,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS116 ,FALSE,0.8800,0.67,10.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867035,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS131 ,FALSE,0.6500,0.58,6.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
RB,2,"S Wang, L Zhang, M Matz","Microsatellite Characterization and Marker Development from Public EST and WGS Databases in the Reef-Building Coral Acropora millepora (Cnidaria, Anthozoa …",2009,https://academic.oup.com/jhered/article-abstract/100/3/329/867036,Acropora millepora,MI,-19.176,146.809,estimate,November,2007,TRUE,WGS134 ,FALSE,0.6700,0.58,7.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,
